Date,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm)
2008-01-01 13:00:00,4,40,186,58,4,3,2,0,4,2,94.79,84.49,0.1,1010,1.345,141.9,7.300000000000001,0.0,0.0
2008-01-01 13:30:00,4,66,340,125,4,3,4,0,0,4,94.7,80.12,0.1,1000,1.442,141.9,8.0,0.0,0.0
2008-01-01 14:00:00,5,89,417,190,4,3,9,0,0,9,92.67,76.11,0.1,1000,1.539,161.60000000000002,8.700000000000001,0.436,0.3344
2008-01-01 14:30:00,5,104,496,253,4,3,31,0,0,31,92.6,72.55,0.1,1000,1.592,161.60000000000002,8.4,1.5502,1.1962
2008-01-01 15:00:00,6,125,507,303,4,4,14,0,0,14,92.74,69.5,0.1,1000,1.646,178.8,8.200000000000001,0.7199,0.5578
2008-01-01 15:30:00,6,134,549,348,4,4,21,0,0,21,92.68,67.02,0.1,1000,1.611,178.8,7.5,1.1027,0.8568
2008-01-01 16:00:00,6,134,595,384,4,5,32,0,0,32,98.63,65.21000000000001,0.1,1000,1.577,206.0,6.9,1.7042,1.3262
2008-01-01 16:30:00,6,138,614,406,4,5,130,0,0,130,98.59,64.1,0.1,1000,1.425,206.0,6.7,6.9794,5.4365
2008-01-01 17:00:00,7,113,710,427,4,5,195,149,0,261,99.19,63.74,0.1,1000,1.274,242.3,6.5,14.0481,10.9455
2008-01-01 17:30:00,7,112,711,422,4,5,121,0,0,121,99.18,64.14,0.1,1000,1.098,242.3,6.1000000000000005,6.4944,5.0585
2008-01-01 18:00:00,7,92,768,413,4,4,88,0,0,88,93.01,65.28,0.1,1000,0.922,267.6,5.7,4.684,3.6451
2008-01-01 18:30:00,6,88,750,380,4,4,163,78,0,194,93.02,67.13,0.1,1000,0.799,267.6,5.5,10.1782,7.9072
2008-01-01 19:00:00,6,73,767,340,4,3,143,73,0,169,86.43,69.64,0.1,1000,0.676,277.90000000000003,5.300000000000001,8.6795,6.7244
2008-01-01 19:30:00,5,67,720,281,4,3,112,23,0,119,92.65,72.72,0.1,1000,0.63,277.90000000000003,5.300000000000001,5.9415,4.5836
2008-01-01 20:00:00,5,56,668,215,0,2,56,668,0,215,85.85000000000001,76.31,0.1,1000,0.584,283.7,5.300000000000001,10.4006,7.9737
2008-01-01 20:30:00,4,46,561,140,0,2,46,561,0,140,92.08,80.33,0.1,1000,0.592,283.7,5.300000000000001,0.0,0.0
2008-01-01 21:00:00,4,31,371,65,0,1,31,371,0,65,89.93,84.72,0.1,1000,0.601,285.5,5.300000000000001,0.0,0.0
2008-01-02 13:00:00,-1,42,109,52,4,-4,7,0,4,7,74.69,84.5,0.1,1000,0.659,319.1,7.1000000000000005,0.0,0.0
2008-01-02 13:30:00,-1,79,229,118,4,-4,16,0,0,16,74.72,80.12,0.1,1000,0.653,319.1,7.2,0.0,0.0
2008-01-02 14:00:00,-1,106,337,187,4,-5,26,0,4,26,71.74,76.10000000000001,0.1,1000,0.648,327.3,7.4,1.2598,0.9662
2008-01-02 14:30:00,-1,127,413,252,4,-5,44,0,0,44,71.76,72.53,0.1,1000,0.642,327.3,7.5,2.2008,1.6983
2008-01-02 15:00:00,-1,138,491,310,4,-5,103,0,0,103,69.97,69.46000000000001,0.1,1000,0.636,332.20000000000005,7.6,5.2983,4.1057
2008-01-02 15:30:00,0,149,531,357,4,-5,152,27,0,163,69.97,66.98,0.1,1000,0.63,332.20000000000005,7.7,8.5622,6.6527
2008-01-02 16:00:00,0,145,597,396,4,-5,161,21,0,170,69.01,65.15,0.1,1010,0.624,333.90000000000003,7.9,9.0575,7.0492
2008-01-02 16:30:00,0,148,613,417,4,-5,175,322,0,316,69.01,64.02,0.1,1010,0.616,333.90000000000003,8.0,16.975,13.2232
2008-01-02 17:00:00,0,133,672,431,1,-6,133,672,0,431,67.93,63.65,0.1,1010,0.609,334.1,8.200000000000001,23.2128,18.0873
2008-01-02 17:30:00,0,131,668,424,4,-6,182,271,0,301,67.96000000000001,64.04,0.1,1010,0.595,334.1,8.3,16.1669,12.5935
2008-01-02 18:00:00,0,95,769,418,1,-6,95,769,0,418,66.31,65.17,0.1,1010,0.582,334.0,8.5,22.2674,17.3298
2008-01-02 18:30:00,0,91,747,383,0,-6,91,747,0,383,66.35,67.02,0.1,1010,0.556,334.0,8.700000000000001,20.112,15.6262
2008-01-02 19:00:00,-1,78,747,340,0,-7,78,747,0,340,63.35,69.51,0.1,1010,0.532,333.90000000000003,8.9,17.4819,13.546
2008-01-02 19:30:00,-1,72,700,281,0,-7,72,700,0,281,63.4,72.59,0.1,1010,0.495,333.90000000000003,9.1,14.047,10.8387
2008-01-02 20:00:00,-2,57,672,217,0,-7,57,672,0,217,63.56,76.18,0.1,1010,0.459,333.90000000000003,9.3,10.5079,8.0579
2008-01-02 20:30:00,-3,46,570,143,0,-7,46,570,0,143,68.49,80.2,0.1,1010,0.417,333.90000000000003,9.4,0.0,0.0
2008-01-02 21:00:00,-4,29,440,70,0,-8,29,440,0,70,68.27,84.59,0.1,1010,0.375,334.1,9.6,0.0,0.0
2008-01-03 13:00:00,-9,28,510,76,1,-13,28,510,0,76,69.95,84.5,0.1,1030,0.205,342.8,8.8,0.0,0.0
2008-01-03 13:30:00,-9,40,673,155,0,-13,40,673,0,155,69.98,80.11,0.1,1030,0.196,342.8,8.700000000000001,0.0,0.0
2008-01-03 14:00:00,-9,48,776,234,1,-13,48,776,0,234,68.28,76.09,0.1,1030,0.187,344.20000000000005,8.700000000000001,11.3391,8.6968
2008-01-03 14:30:00,-8,54,840,307,0,-13,54,840,0,307,63.16,72.5,0.1,1030,0.181,344.20000000000005,8.3,15.3596,11.8531
2008-01-03 15:00:00,-8,61,873,368,1,-13,61,873,0,368,62.93,69.42,0.1,1030,0.175,345.20000000000005,8.1,18.9366,14.6748
2008-01-03 15:30:00,-7,65,904,419,0,-13,65,904,0,419,58.24,66.92,0.1,1030,0.174,345.20000000000005,7.800000000000001,22.0201,17.1104
2008-01-03 16:00:00,-7,66,925,456,0,-13,66,925,0,456,59.19,65.08,0.1,1030,0.173,342.3,7.6,24.308,18.9194
2008-01-03 16:30:00,-6,68,936,479,0,-13,68,936,0,479,59.18,63.940000000000005,0.1,1030,0.176,342.3,7.5,25.7456,20.0565
2008-01-03 17:00:00,-6,67,942,487,0,-13,67,942,0,487,60.81,63.56,0.1,1030,0.18,336.3,7.5,26.2453,20.4516
2008-01-03 17:30:00,-6,67,937,479,0,-13,67,937,0,479,56.32,63.93,0.1,1030,0.186,336.3,7.4,25.7474,20.0581
2008-01-03 18:00:00,-6,65,927,456,0,-12,65,927,0,456,57.92,65.06,0.1,1030,0.192,332.8,7.4,24.3116,18.9225
2008-01-03 18:30:00,-6,63,907,419,0,-12,63,907,0,419,57.93,66.9,0.1,1030,0.196,332.8,7.2,22.0237,17.1135
2008-01-03 19:00:00,-6,58,882,369,0,-12,58,882,0,369,59.28,69.39,0.1,1030,0.201,332.20000000000005,7.1000000000000005,18.9931,14.7191
2008-01-03 19:30:00,-6,54,839,307,0,-12,54,839,0,307,59.29,72.46000000000001,0.1,1030,0.204,332.20000000000005,6.9,15.3653,11.8583
2008-01-03 20:00:00,-6,48,776,235,0,-12,48,776,0,235,60.38,76.04,0.1,1030,0.208,331.90000000000003,6.800000000000001,11.392,8.7382
2008-01-03 20:30:00,-6,40,678,157,0,-12,40,678,0,157,60.4,80.06,0.1,1030,0.212,331.90000000000003,6.6000000000000005,0.0,0.0
2008-01-03 21:00:00,-7,27,525,78,0,-12,27,525,0,78,66.19,84.44,0.1,1030,0.216,332.40000000000003,6.4,0.0,0.0
2008-01-04 13:00:00,-5,31,404,70,1,-8,31,404,0,70,76.35000000000001,84.5,0.1,1030,0.438,250.0,6.4,0.0,0.0
2008-01-04 13:30:00,-4,47,575,146,0,-8,47,575,0,146,70.81,80.09,0.1,1030,0.427,250.0,6.7,0.0,0.0
2008-01-04 14:00:00,-3,56,693,223,0,-8,56,693,0,223,68.41,76.06,0.1,1030,0.417,250.8,7.1000000000000005,10.8086,8.2904
2008-01-04 14:30:00,-2,63,762,293,0,-8,63,762,0,293,63.51,72.46000000000001,0.1,1030,0.414,250.8,7.2,14.6646,11.3175
2008-01-04 15:00:00,-1,67,818,355,0,-7,67,818,0,355,61.36,69.37,0.1,1030,0.411,251.5,7.4,18.2757,14.1634
2008-01-04 15:30:00,0,71,850,405,0,-7,71,850,0,405,57.02,66.86,0.1,1030,0.416,251.5,7.4,21.2946,16.5476
2008-01-04 16:00:00,0,73,871,441,0,-6,73,871,0,441,60.09,65.0,0.1,1030,0.421,251.1,7.4,23.5223,18.3091
2008-01-04 16:30:00,0,74,880,462,0,-6,74,880,0,462,60.05,63.86,0.1,1030,0.45,251.1,7.300000000000001,24.8459,19.3568
2008-01-04 17:00:00,1,76,876,468,1,-6,76,876,0,468,63.03,63.46,0.1,1030,0.48,251.0,7.2,25.2388,19.6687
2008-01-04 17:30:00,1,76,867,459,4,-6,76,867,4,459,63.0,63.82,0.1,1030,0.54,251.0,7.0,24.6915,19.2371
2008-01-04 18:00:00,1,82,820,430,4,-5,140,0,0,140,61.07,64.94,0.1,1020,0.6,250.0,6.9,7.4707,5.8153
2008-01-04 18:30:00,1,80,794,393,4,-5,130,0,0,130,61.05,66.77,0.1,1020,0.673,250.0,6.7,6.8402,5.3159
2008-01-04 19:00:00,2,79,740,341,4,-5,113,0,4,113,63.83,69.25,0.1,1020,0.748,248.1,6.6000000000000005,5.8235,4.5138
2008-01-04 19:30:00,1,72,686,281,4,-5,81,0,0,81,63.82,72.32000000000001,0.1,1020,0.8210000000000001,248.1,6.2,4.0593,3.1335
2008-01-04 20:00:00,1,66,595,211,4,-4,84,0,0,84,68.39,75.9,0.1,1020,0.895,246.8,5.9,4.0766,3.1277
2008-01-04 20:30:00,0,53,483,138,4,-4,44,0,0,44,73.51,79.91,0.1,1020,0.95,246.8,5.7,2.0977,1.5987
2008-01-04 21:00:00,0,35,317,67,4,-3,21,0,4,21,75.87,84.3,0.1,1020,1.004,246.4,5.5,0.0,0.0
2008-01-04 21:30:00,0,10,64,11,4,-3,3,0,4,3,75.88,88.99,0.1,1020,1.045,246.4,5.5,0.0,0.0
2008-01-05 13:00:00,-1,33,352,66,4,-3,35,101,4,45,88.62,84.48,0.1,1020,0.666,247.4,3.0,0.0,0.0
2008-01-05 13:30:00,0,50,523,140,4,-3,62,183,0,94,82.34,80.07000000000001,0.1,1020,0.668,247.4,2.9000000000000004,0.0,0.0
2008-01-05 14:00:00,0,59,646,215,4,-3,84,304,0,157,79.96000000000001,76.03,0.1,1020,0.671,234.0,2.9000000000000004,7.6114,5.8384
2008-01-05 14:30:00,0,68,717,285,1,-3,68,717,0,285,79.94,72.42,0.1,1020,0.673,234.0,3.0,14.2696,11.0133
2008-01-05 15:00:00,1,81,736,341,8,-2,101,521,0,285,80.07000000000001,69.32000000000001,0.1,1020,0.675,221.4,3.1,14.6785,11.3763
2008-01-05 15:30:00,2,86,770,390,8,-2,133,489,4,326,74.51,66.79,0.1,1020,0.6880000000000001,221.4,3.3000000000000003,17.1505,13.3282
2008-01-05 16:00:00,3,91,786,424,8,-1,148,481,4,352,72.96000000000001,64.92,0.1,1020,0.7010000000000001,213.3,3.6,18.7863,14.6237
2008-01-05 16:30:00,3,93,798,447,7,-1,136,531,0,371,72.92,63.76,0.1,1020,0.711,213.3,3.6,19.966,15.5561
2008-01-05 17:00:00,4,98,790,452,7,0,180,321,0,324,78.07000000000001,63.35,0.1,1020,0.722,207.5,3.7,17.4862,13.6282
2008-01-05 17:30:00,3,98,785,445,7,0,157,431,0,348,78.05,63.7,0.1,1020,0.737,207.5,3.6,18.7361,14.5985
2008-01-05 18:00:00,3,101,754,422,7,0,184,182,0,261,83.44,64.81,0.1,1020,0.753,206.2,3.5,13.9409,10.8529
2008-01-05 18:30:00,3,97,728,386,7,0,162,254,0,263,89.56,66.63,0.1,1020,0.8,206.2,3.4000000000000004,13.8538,10.7678
2008-01-05 19:00:00,3,99,661,335,7,0,121,0,0,121,89.67,69.11,0.1,1020,0.849,205.2,3.4000000000000004,6.2434,4.84
2008-01-05 19:30:00,2,90,605,276,7,0,97,0,0,97,89.66,72.17,0.1,1020,0.912,205.2,3.5,4.868,3.7585
2008-01-05 20:00:00,2,78,528,209,6,0,90,14,0,94,87.27,75.75,0.1,1020,0.976,205.3,3.6,4.5675,3.5053
2008-01-05 20:30:00,2,63,416,137,6,0,65,46,0,74,93.75,79.76,0.1,1020,1.026,205.3,3.6,3.5274,2.6888
2008-01-05 21:00:00,2,40,269,67,7,0,35,10,4,36,91.72,84.15,0.1,1020,1.077,208.9,3.7,0.0,0.0
2008-01-05 21:30:00,2,11,47,12,6,0,6,0,4,6,91.72,88.84,0.1,1020,1.134,208.9,3.7,0.0,0.0
2008-01-06 13:00:00,2,35,244,59,4,1,18,0,4,18,95.36,84.47,0.1,1020,2.121,244.5,3.6,0.0,0.0
2008-01-06 13:30:00,2,56,405,126,4,1,39,0,0,39,95.36,80.05,0.1,1020,2.121,244.5,3.4000000000000004,0.0,0.0
2008-01-06 14:00:00,3,68,532,197,4,2,87,6,0,88,93.32,75.99,0.1,1020,2.122,249.7,3.2,4.2676,3.2738
2008-01-06 14:30:00,3,78,607,262,4,2,121,62,0,140,93.31,72.37,0.1,1020,2.119,249.7,3.0,7.0129,5.413
2008-01-06 15:00:00,4,86,653,318,4,2,143,54,0,163,91.62,69.25,0.1,1020,2.117,248.4,2.8000000000000003,8.4002,6.511
2008-01-06 15:30:00,5,92,690,364,3,2,165,54,4,186,91.59,66.72,0.1,1020,2.102,248.4,2.5,9.7907,7.6092
2008-01-06 16:00:00,6,98,705,398,3,3,180,56,4,204,90.06,64.83,0.1,1020,2.087,235.1,2.4000000000000004,10.8947,8.4813
2008-01-06 16:30:00,6,100,720,420,4,3,189,58,4,215,90.02,63.66,0.1,1020,2.06,235.1,2.3000000000000003,11.5787,9.022
2008-01-06 17:00:00,7,103,719,427,4,4,160,7,4,163,88.52,63.24,0.1,1020,2.033,219.9,2.3000000000000003,8.8037,6.8619
2008-01-06 17:30:00,7,102,716,421,4,4,158,7,4,161,88.5,63.58,0.1,1020,2.013,219.9,2.3000000000000003,8.6754,6.7602
2008-01-06 18:00:00,7,93,728,405,4,4,152,7,0,155,86.52,64.68,0.1,1020,1.994,213.8,2.4000000000000004,8.2869,6.452
