Date,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm)
2006-01-01 13:00:00,0,38,202,58,4,0,13,0,4,13,99.6,84.5,0.099,1010,1.054,334.6,3.2,0.0,0.0
2006-01-01 13:30:00,1,64,352,125,4,0,29,0,0,29,99.65,80.12,0.099,1010,1.061,334.6,3.1,0.0,0.0
2006-01-01 14:00:00,2,82,465,194,4,0,64,0,0,64,96.91,76.11,0.099,1010,1.068,337.70000000000005,3.0,3.1008,2.3781
2006-01-01 14:30:00,2,96,542,259,4,0,28,0,0,28,90.24,72.54,0.099,1010,1.077,337.70000000000005,2.8000000000000003,1.4004,1.0806
2006-01-01 15:00:00,3,89,674,325,4,0,86,0,0,86,86.64,69.48,0.099,1010,1.087,335.90000000000003,2.6,4.4231,3.4274
2006-01-01 15:30:00,3,94,710,372,4,0,121,0,0,121,86.63,67.0,0.099,1010,1.095,335.90000000000003,2.4000000000000004,6.3549,4.9376
2006-01-01 16:00:00,4,98,733,406,4,1,135,0,0,135,81.3,65.18,0.099,1010,1.103,329.1,2.3000000000000003,7.1911,5.5965
2006-01-01 16:30:00,4,100,746,427,4,1,153,5,0,155,81.29,64.06,0.099,1010,1.108,329.1,2.3000000000000003,8.324,6.484
2006-01-01 17:00:00,5,101,751,434,4,1,156,5,4,158,81.33,63.7,0.099,1010,1.113,317.20000000000005,2.3000000000000003,8.5066,6.6281
2006-01-01 17:30:00,5,100,747,427,4,1,176,38,0,193,81.34,64.09,0.099,1010,1.113,317.20000000000005,2.3000000000000003,10.3625,8.0717
2006-01-01 18:00:00,5,102,722,404,4,1,177,72,0,207,76.49,65.23,0.099,1010,1.113,311.8,2.4000000000000004,11.0222,8.5777
2006-01-01 18:30:00,5,98,697,369,4,1,166,118,0,213,82.04,67.08,0.099,1010,1.111,311.8,2.3000000000000003,11.1796,8.6856
2006-01-01 19:00:00,5,94,653,322,4,1,141,52,0,159,84.84,69.58,0.099,1010,1.11,311.8,2.3000000000000003,8.1703,6.3303
2006-01-01 19:30:00,4,85,600,264,4,1,75,0,0,75,84.87,72.66,0.099,1010,1.103,311.8,2.0,3.7468,2.8907
2006-01-01 20:00:00,4,73,531,199,4,1,38,0,0,38,84.63,76.24,0.099,1010,1.097,306.40000000000003,1.7000000000000002,1.8392,1.4103
2006-01-01 20:30:00,3,58,420,129,4,1,25,0,4,25,90.84,80.27,0.099,1010,1.084,306.40000000000003,1.7000000000000002,0.0,0.0
2006-01-01 21:00:00,3,36,251,60,4,0,11,0,4,11,88.27,84.66,0.099,1010,1.071,292.5,1.7000000000000002,0.0,0.0
2006-01-02 13:00:00,2,36,236,59,7,0,9,0,4,9,91.32,84.5,0.099,1020,1.582,146.0,0.8,0.0,0.0
2006-01-02 13:30:00,2,59,391,126,4,0,19,0,0,19,91.33,80.11,0.099,1020,1.59,146.0,1.4,0.0,0.0
2006-01-02 14:00:00,3,76,494,195,4,1,88,14,0,91,90.12,76.10000000000001,0.099,1020,1.598,152.70000000000002,2.0,4.4093,3.3817
2006-01-02 14:30:00,4,88,569,259,4,1,106,2,0,107,84.02,72.52,0.099,1020,1.613,152.70000000000002,2.1,5.3524,4.1303
2006-01-02 15:00:00,5,98,617,315,4,2,140,43,0,155,81.55,69.44,0.099,1020,1.63,178.9,2.2,7.9746,6.1797
2006-01-02 15:30:00,5,105,654,361,4,2,152,27,0,163,81.53,66.95,0.099,1020,1.645,178.9,2.1,8.5642,6.6545
2006-01-02 16:00:00,6,111,672,394,7,2,168,37,0,184,76.36,65.12,0.099,1020,1.66,201.1,2.0,9.8056,7.6316
2006-01-02 16:30:00,6,113,686,414,7,2,114,0,0,114,81.75,63.99,0.099,1020,1.673,201.1,1.9,6.1252,4.7715
2006-01-02 17:00:00,6,107,713,424,4,2,173,352,0,330,84.59,63.61,0.099,1020,1.686,149.0,1.9,17.7781,13.853
2006-01-02 17:30:00,5,106,707,416,4,2,144,0,0,144,84.55,63.99,0.099,1010,1.749,149.0,2.5,7.7371,6.0272
2006-01-02 18:00:00,5,105,686,394,7,2,178,73,0,209,86.60000000000001,65.12,0.099,1010,1.812,123.7,3.1,11.1378,8.6685
2006-01-02 18:30:00,5,101,660,360,7,2,150,23,0,159,86.62,66.96000000000001,0.099,1010,1.904,123.7,3.0,8.3534,6.4906
2006-01-02 19:00:00,5,100,598,311,7,3,107,0,0,107,87.7,69.45,0.099,1010,1.996,125.2,3.0,5.5046,4.2656
2006-01-02 19:30:00,4,91,544,255,7,3,48,0,0,48,94.04,72.53,0.099,1010,2.033,125.2,3.1,2.4008,1.8527
2006-01-02 20:00:00,4,83,439,189,7,2,87,11,0,90,92.76,76.11,0.099,1010,2.071,116.4,3.2,4.3605,3.3443
2006-01-02 20:30:00,4,64,332,121,7,2,58,0,4,58,99.49,80.13,0.099,1010,2.094,116.4,3.6,0.0,0.0
2006-01-02 21:00:00,4,39,178,56,7,2,26,0,4,26,99.66,84.52,0.099,1010,2.118,106.1,4.0,0.0,0.0
2006-01-03 13:00:00,2,37,222,58,4,1,5,0,4,5,97.63,84.5,0.099,1000,2.114,51.7,10.8,0.0,0.0
2006-01-03 13:30:00,2,58,388,125,4,1,12,0,0,12,97.66,80.10000000000001,0.099,1000,2.098,51.7,10.7,0.0,0.0
2006-01-03 14:00:00,2,72,511,195,7,1,88,246,0,147,97.82,76.08,0.099,1000,2.083,51.2,10.6,7.1238,5.4639
2006-01-03 14:30:00,2,82,589,260,7,1,120,196,0,179,97.82,72.48,0.099,1000,2.072,51.2,10.4,8.9573,6.9126
