Date,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm)
1998-01-01 13:00:00,-11,28,482,74,0,-13,28,482,0,74,81.7,84.5,0.091,1030,0.288,316.0,6.2,0.0,0.0
1998-01-01 13:30:00,-9,41,642,151,0,-13,41,642,0,151,69.79,80.12,0.091,1030,0.306,316.0,5.9,0.0,0.0
1998-01-01 14:00:00,-8,51,731,227,0,-12,51,731,0,227,71.89,76.11,0.091,1030,0.324,310.90000000000003,5.7,10.9981,8.435
1998-01-01 14:30:00,-7,58,795,296,0,-12,58,795,0,296,66.54,72.54,0.091,1030,0.344,310.90000000000003,5.4,14.8037,11.4235
1998-01-01 15:00:00,-6,64,831,355,0,-10,64,831,0,355,73.15,69.49,0.091,1030,0.364,299.90000000000003,5.1000000000000005,18.2564,14.1465
1998-01-01 15:30:00,-5,67,859,403,0,-11,67,859,0,403,67.72,67.01,0.091,1030,0.389,299.90000000000003,4.800000000000001,21.1639,16.4437
1998-01-01 16:00:00,-5,71,873,437,0,-9,71,873,0,437,68.73,65.18,0.091,1030,0.415,281.8,4.6000000000000005,23.2778,18.1161
1998-01-01 16:30:00,-4,72,882,458,0,-9,72,882,0,458,63.71,64.07000000000001,0.091,1030,0.446,281.8,4.6000000000000005,24.5943,19.1577
1998-01-01 17:00:00,-3,73,879,463,0,-8,73,879,0,463,68.89,63.7,0.091,1020,0.479,257.5,4.6000000000000005,24.9276,19.4227
1998-01-01 17:30:00,-2,73,871,454,0,-8,73,871,0,454,63.92,64.1,0.091,1020,0.527,257.5,4.9,24.3743,18.9859
1998-01-01 18:00:00,-2,74,846,428,0,-8,74,846,0,428,68.09,65.24,0.091,1020,0.5760000000000001,243.8,5.2,22.7882,17.7341
1998-01-01 18:30:00,-2,71,821,391,0,-8,71,821,0,391,63.22,67.09,0.091,1020,0.637,243.8,5.300000000000001,20.5205,15.9425
1998-01-01 19:00:00,-2,74,756,338,0,-7,74,756,0,338,66.06,69.58,0.091,1020,0.6990000000000001,239.4,5.4,17.3683,13.4569
1998-01-01 19:30:00,-2,68,705,278,0,-7,68,705,0,278,66.02,72.66,0.091,1020,0.721,239.4,5.5,13.888,10.7148
1998-01-01 20:00:00,-2,61,624,209,0,-7,61,624,0,209,68.25,76.25,0.091,1020,0.744,235.7,5.6000000000000005,10.115,7.7557
1998-01-01 20:30:00,-2,49,515,136,7,-7,49,515,4,136,68.22,80.27,0.091,1020,0.75,235.7,5.9,0.0,0.0
1998-01-01 21:00:00,-2,31,358,64,4,-7,31,358,4,64,73.19,84.66,0.091,1020,0.756,230.8,6.2,0.0,0.0
1998-01-02 13:00:00,0,33,342,65,7,-2,34,47,4,38,85.26,84.51,0.091,1020,0.908,243.5,6.0,0.0,0.0
1998-01-02 13:30:00,0,50,508,137,7,-2,64,97,0,81,85.29,80.12,0.091,1020,0.902,243.5,5.800000000000001,0.0,0.0
1998-01-02 14:00:00,0,61,618,210,7,-1,82,317,0,158,91.5,76.10000000000001,0.091,1020,0.896,244.2,5.6000000000000005,7.6557,5.8716
1998-01-02 14:30:00,1,70,690,277,8,-1,100,383,0,215,85.14,72.52,0.091,1020,0.9,244.2,5.5,10.7547,8.2993
1998-01-02 15:00:00,2,76,740,336,7,0,142,217,0,219,84.69,69.45,0.091,1020,0.905,244.8,5.4,11.2664,8.7305
1998-01-02 15:30:00,2,81,773,383,7,0,134,425,0,301,84.67,66.96000000000001,0.091,1020,0.916,244.8,5.4,15.8137,12.2873
1998-01-02 16:00:00,3,84,792,418,7,0,122,553,0,355,82.71000000000001,65.12,0.091,1020,0.928,244.7,5.4,18.9183,14.724
1998-01-02 16:30:00,3,86,804,439,7,0,131,544,0,370,82.7,63.99,0.091,1020,0.94,244.7,5.300000000000001,19.88,15.4864
1998-01-02 17:00:00,4,88,804,445,7,1,123,587,0,384,80.97,63.61,0.091,1020,0.952,243.0,5.2,20.6872,16.1199
1998-01-02 17:30:00,4,87,799,438,7,1,138,511,0,363,80.96000000000001,64.0,0.091,1020,0.97,243.0,5.0,19.5025,15.1923
1998-01-02 18:00:00,5,86,782,415,7,1,134,495,0,342,79.14,65.13,0.091,1020,0.989,242.7,4.9,18.2242,14.1837
1998-01-02 18:30:00,5,83,758,380,7,1,106,576,0,331,79.14,66.97,0.091,1020,1.02,242.7,4.4,17.3884,13.5107
1998-01-02 19:00:00,5,80,716,331,7,2,111,455,0,271,83.99,69.46000000000001,0.091,1020,1.052,240.7,4.0,13.9402,10.8024
1998-01-02 19:30:00,4,74,663,273,4,2,103,357,0,211,90.07000000000001,72.53,0.091,1020,1.105,240.7,3.7,10.5537,8.144
1998-01-02 20:00:00,4,66,579,205,0,2,66,579,0,205,90.67,76.12,0.091,1020,1.16,236.2,3.4000000000000004,9.9314,7.6167
1998-01-02 20:30:00,3,53,469,133,0,2,53,469,0,133,97.29,80.13,0.091,1020,1.228,236.2,3.5,0.0,0.0
1998-01-02 21:00:00,3,34,300,63,0,1,34,300,0,63,92.94,84.52,0.091,1020,1.296,233.8,3.7,0.0,0.0
1998-01-03 13:00:00,3,28,403,66,4,2,19,0,4,19,95.03,84.5,0.091,1020,1.577,229.7,5.800000000000001,0.0,0.0
1998-01-03 13:30:00,3,41,564,138,4,2,39,0,0,39,95.03,80.11,0.091,1020,1.563,229.7,5.800000000000001,0.0,0.0
1998-01-03 14:00:00,4,51,659,210,4,2,83,0,0,83,92.89,76.08,0.091,1020,1.55,226.0,5.9,4.0223,3.085
1998-01-03 14:30:00,5,58,725,276,4,2,122,139,0,164,92.89,72.49,0.091,1020,1.575,226.0,5.800000000000001,8.2059,6.3327
1998-01-03 15:00:00,6,63,770,334,4,3,140,45,0,156,92.1,69.4,0.091,1020,1.6,222.8,5.7,8.0289,6.2221
1998-01-03 15:30:00,6,66,799,380,4,3,163,229,0,253,92.05,66.9,0.091,1020,1.663,222.8,5.6000000000000005,13.2983,10.3334
1998-01-03 16:00:00,7,68,819,414,3,4,180,225,4,275,91.05,65.05,0.091,1020,1.726,222.5,5.6000000000000005,14.6627,11.4125
1998-01-03 16:30:00,7,70,829,434,3,4,158,421,0,343,91.01,63.91,0.091,1020,1.781,222.5,5.5,18.4397,14.3653
1998-01-03 17:00:00,8,70,830,441,0,5,70,830,0,441,88.19,63.52,0.091,1020,1.837,223.2,5.5,23.7728,18.5255
1998-01-03 17:30:00,8,70,826,434,0,5,70,826,0,434,88.18,63.89,0.091,1020,1.862,223.2,5.300000000000001,23.3352,18.1794
1998-01-03 18:00:00,8,69,810,412,8,5,141,463,0,337,85.88,65.01,0.091,1020,1.888,221.8,5.1000000000000005,17.9738,13.9901
1998-01-03 18:30:00,8,67,790,378,8,5,134,445,4,309,85.86,66.84,0.091,1020,1.904,221.8,5.0,16.2496,12.6275
1998-01-03 19:00:00,8,64,755,331,4,6,148,117,0,189,87.83,69.33,0.091,1020,1.921,221.6,4.9,9.7333,7.5435
1998-01-03 19:30:00,7,59,709,274,4,6,118,230,0,187,94.01,72.4,0.091,1020,1.943,221.6,4.9,9.3646,7.2278
1998-01-03 20:00:00,7,52,641,208,4,5,94,144,0,129,91.17,75.98,0.091,1020,1.966,222.1,4.9,6.2565,4.7995
