Date,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm)
2016-01-01 13:00:00,2,35,308,65,6,0,33,23,4,36,88.32000000000001,84.49,0.105,1010,0.836,293.8,3.7,0.0,0.0
2016-01-01 13:30:00,2,54,474,136,8,0,66,55,4,75,88.31,80.11,0.105,1010,0.8280000000000001,293.8,3.9,0.0,0.0
2016-01-01 14:00:00,3,66,595,209,8,0,97,78,4,116,79.31,76.11,0.105,1010,0.8210000000000001,289.2,4.1000000000000005,5.6202,4.3104
2016-01-01 14:30:00,3,76,668,276,8,0,125,91,4,153,79.3,72.55,0.105,1010,0.8170000000000001,289.2,4.1000000000000005,7.6512,5.9041
2016-01-01 15:00:00,4,82,722,335,4,0,147,110,0,185,76.60000000000001,69.49,0.105,1010,0.8130000000000001,287.7,4.2,9.5139,7.3721
2016-01-01 15:30:00,4,87,758,383,4,0,165,198,0,242,76.56,67.02,0.105,1010,0.798,287.7,4.4,12.7078,9.8735
2016-01-01 16:00:00,4,89,785,418,8,0,187,185,4,264,71.34,65.2,0.105,1010,0.785,283.5,4.6000000000000005,14.0605,10.9424
2016-01-01 16:30:00,4,91,798,440,8,0,157,421,0,341,71.31,64.09,0.105,1010,0.773,283.5,4.800000000000001,18.3089,14.2614
2016-01-01 17:00:00,5,92,801,446,8,0,146,488,0,362,71.97,63.73,0.105,1010,0.762,276.5,5.0,19.4857,15.1823
2016-01-01 17:30:00,5,91,797,439,8,0,177,303,0,309,71.95,64.13,0.105,1010,0.759,276.5,5.2,16.586,12.919
2016-01-01 18:00:00,5,90,779,416,8,0,179,273,4,293,67.34,65.28,0.105,1010,0.756,271.7,5.4,15.5956,12.1364
2016-01-01 18:30:00,5,87,756,381,4,0,141,9,0,144,72.19,67.13,0.105,1010,0.751,271.7,5.6000000000000005,7.555,5.8693
2016-01-01 19:00:00,5,83,716,332,8,0,124,4,4,126,71.75,69.63,0.105,1010,0.746,271.5,5.9,6.4717,5.0139
2016-01-01 19:30:00,4,76,664,274,8,0,104,0,4,104,71.75,72.71000000000001,0.105,1010,0.738,271.5,6.1000000000000005,5.1931,4.0062
2016-01-01 20:00:00,4,68,578,205,8,0,78,0,4,78,70.93,76.3,0.105,1010,0.731,274.3,6.300000000000001,3.7735,2.8931
2016-01-01 20:30:00,3,55,467,133,8,0,50,0,4,50,76.12,80.32000000000001,0.105,1010,0.714,274.3,6.4,0.0,0.0
2016-01-01 21:00:00,3,36,282,62,8,-1,23,0,4,23,74.48,84.72,0.105,1010,0.6980000000000001,278.3,6.6000000000000005,0.0,0.0
2016-01-02 13:00:00,0,33,371,69,4,-3,34,56,4,40,80.11,84.5,0.093,1010,0.525,292.7,4.800000000000001,0.0,0.0
2016-01-02 13:30:00,0,50,538,142,4,-3,67,93,4,83,80.11,80.11,0.093,1010,0.546,292.7,4.7,0.0,0.0
